sigla_uf,id_municipio,nome,numero_candidato,sigla_partido,votos,turno
RO,1100015,Alta Floresta D'Oeste,27,DC,4,1
RO,1100015,Alta Floresta D'Oeste,15,MDB,184,1
RO,1100015,Alta Floresta D'Oeste,30,NOVO,185,1
RO,1100015,Alta Floresta D'Oeste,51,PATRIOTA,62,1
RO,1100015,Alta Floresta D'Oeste,12,PDT,486,1
RO,1100015,Alta Floresta D'Oeste,19,PODE,195,1
RO,1100015,Alta Floresta D'Oeste,54,PPL,2,1
RO,1100015,Alta Floresta D'Oeste,45,PSDB,672,1
RO,1100015,Alta Floresta D'Oeste,17,PSL,7617,1
RO,1100015,Alta Floresta D'Oeste,50,PSOL,81,1
RO,1100015,Alta Floresta D'Oeste,16,PSTU,4,1
RO,1100015,Alta Floresta D'Oeste,13,PT,3144,1
RO,1100015,Alta Floresta D'Oeste,18,REDE,55,1
RO,1100015,Alta Floresta D'Oeste,17,PSL,8524,2
RO,1100015,Alta Floresta D'Oeste,13,PT,3763,2
RO,1100023,Ariquemes,27,DC,5,1
RO,1100023,Ariquemes,15,MDB,613,1
RO,1100023,Ariquemes,30,NOVO,834,1
RO,1100023,Ariquemes,51,PATRIOTA,417,1
RO,1100023,Ariquemes,12,PDT,2266,1
RO,1100023,Ariquemes,19,PODE,491,1
RO,1100023,Ariquemes,54,PPL,5,1
RO,1100023,Ariquemes,45,PSDB,1850,1
RO,1100023,Ariquemes,17,PSL,34680,1
RO,1100023,Ariquemes,50,PSOL,302,1
RO,1100023,Ariquemes,16,PSTU,21,1
RO,1100023,Ariquemes,13,PT,6281,1
RO,1100023,Ariquemes,18,REDE,283,1
RO,1100023,Ariquemes,17,PSL,37325,2
RO,1100023,Ariquemes,13,PT,8862,2
RO,1100031,Cabixi,27,DC,0,1
RO,1100031,Cabixi,15,MDB,47,1
RO,1100031,Cabixi,30,NOVO,44,1
RO,1100031,Cabixi,51,PATRIOTA,16,1
RO,1100031,Cabixi,12,PDT,153,1
RO,1100031,Cabixi,19,PODE,59,1
RO,1100031,Cabixi,54,PPL,0,1
RO,1100031,Cabixi,45,PSDB,188,1
RO,1100031,Cabixi,17,PSL,1918,1
RO,1100031,Cabixi,50,PSOL,19,1
RO,1100031,Cabixi,16,PSTU,1,1
RO,1100031,Cabixi,13,PT,942,1
RO,1100031,Cabixi,18,REDE,19,1
RO,1100031,Cabixi,17,PSL,2142,2
RO,1100031,Cabixi,13,PT,1110,2
RO,1100049,Cacoal,27,DC,18,1
RO,1100049,Cacoal,15,MDB,618,1
RO,1100049,Cacoal,30,NOVO,1341,1
RO,1100049,Cacoal,51,PATRIOTA,258,1
RO,1100049,Cacoal,12,PDT,2530,1
RO,1100049,Cacoal,19,PODE,531,1
RO,1100049,Cacoal,54,PPL,9,1
RO,1100049,Cacoal,45,PSDB,1863,1
RO,1100049,Cacoal,17,PSL,32333,1
RO,1100049,Cacoal,50,PSOL,287,1
RO,1100049,Cacoal,16,PSTU,11,1
RO,1100049,Cacoal,13,PT,7197,1
RO,1100049,Cacoal,18,REDE,349,1
RO,1100049,Cacoal,17,PSL,35962,2
RO,1100049,Cacoal,13,PT,10091,2
RO,1100056,Cerejeiras,27,DC,2,1
RO,1100056,Cerejeiras,15,MDB,126,1
RO,1100056,Cerejeiras,30,NOVO,75,1
